Filename,buckets,boxes,KnapSackDoIt,BruteForceDoIt,SFCProcessorMapDoIt
2_4096_output.txt,2,4096, 0.002387 , 0.001683 ,  0.00128 
2_256_output.txt,2,256, 0.001658 , 0.001762 ,0.0009555 
2_512_output.txt,2,512, 0.001849 , 0.001665 , 0.001053 
2_16_output.txt,2,16, 0.002277 , 0.001727 , 0.001142 
2_64_output.txt,2,64, 0.002365 , 0.001662 , 0.001118 
2_1024_output.txt,2,1024, 0.002055 , 0.001996 , 0.001311 
2_32_output.txt,2,32, 0.001635 ,  0.00157 ,0.0009417 
2_2048_output.txt,2,2048, 0.002417 , 0.002015 , 0.001309 
2_128_output.txt,2,128, 0.001922 ,  0.00171 , 0.001004 
2_8_output.txt,2,8, 0.002573 ,  0.00191 ,  0.00149 
